Wavelength0,Intensity0,Wavelength1,Intensity1,Wavelength2,Intensity2,Wavelength3,Intensity3,Wavelength4,Intensity4,Wavelength5,Intensity5,Wavelength6,Intensity6,Wavelength7,Intensity7,Wavelength8,Intensity8,Wavelength9,Intensity9,Wavelength10,Intensity10,Wavelength11,Intensity11,Wavelength12,Intensity12,Wavelength13,Intensity13,Wavelength14,Intensity14,Wavelength15,Intensity15,Wavelength16,Intensity16,Wavelength17,Intensity17,Wavelength18,Intensity18,Wavelength19,Intensity19,Wavelength20,Intensity20,Wavelength21,Intensity21,Wavelength22,Intensity22,Wavelength23,Intensity23,Wavelength24,Intensity24,Wavelength25,Intensity25,Wavelength26,Intensity26,Wavelength27,Intensity27,Wavelength28,Intensity28,Wavelength29,Intensity29
1425.0,-79.973,1425.0,-83.608,1425.0,-83.147,1425.0,-95.058,1425.0,-80.761,1425.0,-210.0,1425.0,-81.159,1425.0,-84.198,1425.0,-82.373,1425.0,-89.609,1425.0,-83.34,1425.0,-81.5,1425.0,-93.294,1425.0,-210.0,1425.0,-87.066,1425.0,-82.779,1425.0,-83.09,1425.0,-90.329,1425.0,-86.255,1425.0,-82.044,1425.0,-82.353,1425.0,-81.474,1425.0,-82.722,1425.0,-80.935,1425.0,-88.245,1425.0,-81.478,1425.0,-81.187,1425.0,-79.888,1425.0,-85.54,1425.0,-81.119
1425.15,-80.802,1425.15,-80.743,1425.15,-80.49,1425.15,-85.023,1425.15,-88.471,1425.15,-75.185,1425.15,-85.065,1425.15,-85.201,1425.15,-93.623,1425.15,-90.41,1425.15,-89.774,1425.15,-81.061,1425.15,-81.962,1425.15,-79.673,1425.15,-85.19,1425.15,-83.936,1425.15,-81.191,1425.15,-84.813,1425.15,-80.861,1425.15,-83.581,1425.15,-81.387,1425.15,-82.733,1425.15,-81.941,1425.15,-81.803,1425.15,-82.539,1425.15,-82.168,1425.15,-84.663,1425.15,-87.889,1425.15,-81.908,1425.15,-92.209
1425.3,-83.302,1425.3,-82.062,1425.3,-80.664,1425.3,-210.0,1425.3,-81.834,1425.3,-210.0,1425.3,-84.738,1425.3,-82.765,1425.3,-81.061,1425.3,-82.375,1425.3,-80.574,1425.3,-210.0,1425.3,-81.927,1425.3,-82.244,1425.3,-84.327,1425.3,-83.163,1425.3,-83.625,1425.3,-79.303,1425.3,-81.255,1425.3,-82.068,1425.3,-82.995,1425.3,-80.807,1425.3,-81.15,1425.3,-82.976,1425.3,-80.979,1425.3,-84.101,1425.3,-85.611,1425.3,-81.528,1425.3,-81.068,1425.3,-82.998
1425.45,-86.015,1425.45,-80.614,1425.45,-81.744,1425.45,-83.304,1425.45,-82.738,1425.45,-71.078,1425.45,-87.086,1425.45,-210.0,1425.45,-85.939,1425.45,-85.766,1425.45,-83.166,1425.45,-81.664,1425.45,-83.076,1425.45,-87.262,1425.45,-81.584,1425.45,-84.147,1425.45,-89.18,1425.45,-85.755,1425.45,-81.692,1425.45,-81.537,1425.45,-84.752,1425.45,-83.164,1425.45,-79.366,1425.45,-86.462,1425.45,-82.35,1425.45,-87.555,1425.45,-80.149,1425.45,-85.074,1425.45,-82.146,1425.45,-84.087
1425.6,-80.607,1425.6,-85.141,1425.6,-81.237,1425.6,-82.642,1425.6,-80.926,1425.6,-210.0,1425.6,-84.308,1425.6,-81.22,1425.6,-84.608,1425.6,-86.512,1425.6,-80.959,1425.6,-82.774,1425.6,-83.865,1425.6,-85.875,1425.6,-83.699,1425.6,-80.747,1425.6,-81.228,1425.6,-84.32,1425.6,-83.333,1425.6,-85.944,1425.6,-81.53,1425.6,-80.801,1425.6,-86.161,1425.6,-81.142,1425.6,-81.078,1425.6,-82.203,1425.6,-82.535,1425.6,-80.836,1425.6,-81.316,1425.6,-85.362
1425.75,-82.867,1425.75,-85.217,1425.75,-82.894,1425.75,-82.084,1425.75,-114.259,1425.75,-80.849,1425.75,-84.07,1425.75,-210.0,1425.75,-84.357,1425.75,-210.0,1425.75,-210.0,1425.75,-81.936,1425.75,-85.331,1425.75,-81.085,1425.75,-210.0,1425.75,-210.0,1425.75,-82.205,1425.75,-80.222,1425.75,-81.593,1425.75,-81.013,1425.75,-81.028,1425.75,-82.979,1425.75,-83.237,1425.75,-80.162,1425.75,-85.391,1425.75,-88.303,1425.75,-80.105,1425.75,-84.256,1425.75,-81.719,1425.75,-83.502
1425.9,-85.511,1425.9,-84.919,1425.9,-80.136,1425.9,-86.182,1425.9,-84.696,1425.9,-210.0,1425.9,-81.6,1425.9,-81.094,1425.9,-87.176,1425.9,-90.794,1425.9,-81.082,1425.9,-84.827,1425.9,-82.389,1425.9,-80.684,1425.9,-83.16,1425.9,-78.026,1425.9,-84.267,1425.9,-85.396,1425.9,-82.718,1425.9,-83.785,1425.9,-81.457,1425.9,-81.352,1425.9,-81.783,1425.9,-79.815,1425.9,-82.279,1425.9,-81.209,1425.9,-89.711,1425.9,-83.09,1425.9,-83.614,1425.9,-82.964
1426.05,-87.639,1426.05,-92.646,1426.05,-83.719,1426.05,-88.866,1426.05,-80.165,1426.05,-68.525,1426.05,-83.405,1426.05,-90.029,1426.05,-86.347,1426.05,-82.184,1426.05,-84.473,1426.05,-80.181,1426.05,-82.62,1426.05,-81.612,1426.05,-84.131,1426.05,-84.831,1426.05,-82.627,1426.05,-81.708,1426.05,-84.287,1426.05,-92.903,1426.05,-83.75,1426.05,-81.723,1426.05,-83.538,1426.05,-84.423,1426.05,-86.288,1426.05,-81.843,1426.05,-86.205,1426.05,-82.817,1426.05,-81.086,1426.05,-83.664
1426.2,-82.144,1426.2,-82.91,1426.2,-80.933,1426.2,-84.223,1426.2,-85.604,1426.2,-73.25,1426.2,-89.196,1426.2,-82.377,1426.2,-84.346,1426.2,-210.0,1426.2,-81.09,1426.2,-210.0,1426.2,-82.62,1426.2,-83.338,1426.2,-84.301,1426.2,-86.845,1426.2,-85.333,1426.2,-82.911,1426.2,-81.745,1426.2,-82.89,1426.2,-82.062,1426.2,-81.069,1426.2,-81.226,1426.2,-81.17,1426.2,-81.298,1426.2,-83.957,1426.2,-79.632,1426.2,-82.374,1426.2,-82.776,1426.2,-83.822
1426.35,-82.564,1426.35,-87.457,1426.35,-82.422,1426.35,-81.429,1426.35,-80.756,1426.35,-77.616,1426.35,-80.814,1426.35,-81.238,1426.35,-82.447,1426.35,-83.541,1426.35,-79.26,1426.35,-82.141,1426.35,-84.917,1426.35,-84.521,1426.35,-83.939,1426.35,-83.966,1426.35,-82.406,1426.35,-84.29,1426.35,-80.994,1426.35,-82.727,1426.35,-89.407,1426.35,-81.156,1426.35,-81.929,1426.35,-80.396,1426.35,-83.201,1426.35,-80.97,1426.35,-80.715,1426.35,-85.212,1426.35,-83.126,1426.35,-81.588
1426.5,-84.439,1426.5,-81.782,1426.5,-79.686,1426.5,-210.0,1426.5,-84.453,1426.5,-210.0,1426.5,-82.196,1426.5,-81.565,1426.5,-81.571,1426.5,-81.359,1426.5,-210.0,1426.5,-82.19,1426.5,-83.262,1426.5,-87.11,1426.5,-210.0,1426.5,-83.911,1426.5,-84.87,1426.5,-90.456,1426.5,-80.182,1426.5,-80.828,1426.5,-81.17,1426.5,-83.246,1426.5,-80.712,1426.5,-83.009,1426.5,-81.517,1426.5,-80.735,1426.5,-81.24,1426.5,-81.628,1426.5,-82.597,1426.5,-80.236
