# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
# ==========
25.986183	0.064432	0.064570
25.992955	0.064556	0.064570
25.999713	0.064675	0.064570
26.006458	0.064789	0.064570
26.013190	0.064898	0.064570
26.019907	0.065000	0.064570
26.026611	0.065097	0.064570
26.033301	0.065188	0.064570
26.039977	0.065273	0.064570
26.046639	0.065351	0.064570
26.053288	0.065422	0.064570
26.059922	0.065486	0.064570
26.066543	0.065543	0.064570
26.073149	0.065594	0.064570
26.079742	0.065637	0.064570
26.086321	0.065673	0.064570
26.092885	0.065702	0.064570
26.099436	0.065724	0.064570
26.105972	0.065739	0.064570
26.112494	0.065747	0.064570
26.119002	0.065748	0.064570
26.125496	0.065743	0.064570
26.131976	0.065730	0.064570
26.138441	0.065712	0.064570
26.144892	0.065687	0.064570
26.151329	0.065656	0.064570
26.157752	0.065620	0.064570
26.164160	0.065578	0.064570
26.170553	0.065530	0.064570
26.176933	0.065478	0.064570
26.183297	0.065421	0.064570
26.189648	0.065360	0.064570
26.195984	0.065295	0.064570
26.202305	0.065227	0.064570
26.208611	0.065155	0.064570
26.214903	0.065080	0.064570
26.221181	0.065003	0.064570
26.227444	0.064924	0.064570
26.233692	0.064843	0.064570
26.239925	0.064761	0.064570
26.246143	0.064679	0.064570
26.252347	0.064595	0.064570
26.258536	0.064512	0.064570
26.264710	0.064429	0.064570
26.270869	0.064347	0.064570
26.277014	0.064267	0.064570
26.283143	0.064187	0.064570
26.289258	0.064110	0.064570
26.295357	0.064035	0.064570
26.301441	0.063963	0.064570
26.307511	0.063894	0.064570
26.313565	0.063828	0.064570
26.319604	0.063766	0.064570
26.325628	0.063708	0.064570
26.331637	0.063654	0.064570
26.337631	0.063605	0.064570
26.343609	0.063561	0.064570
26.349572	0.063521	0.064570
26.355520	0.063487	0.064570
26.361453	0.063458	0.064570
26.367370	0.063435	0.064570
26.373272	0.063417	0.064570
26.379158	0.063405	0.064570
26.385029	0.063399	0.064570
26.390885	0.063398	0.064570
26.396725	0.063404	0.064570
26.402550	0.063415	0.064570
26.408359	0.063433	0.064570
26.414152	0.063456	0.064570
26.419930	0.063484	0.064570
26.425692	0.063519	0.064570
26.431438	0.063558	0.064570
26.437169	0.063603	0.064570
26.442884	0.063654	0.064570
26.448584	0.063709	0.064570
26.454267	0.063768	0.064570
26.459935	0.063832	0.064570
26.465587	0.063901	0.064570
26.471223	0.063973	0.064570
26.476843	0.064049	0.064570
26.482447	0.064128	0.064570
26.488035	0.064209	0.064570
26.493607	0.064294	0.064570
26.499163	0.064381	0.064570
26.504703	0.064469	0.064570
26.510228	0.064559	0.064570
26.515735	0.064650	0.064570
26.521227	0.064741	0.064570
26.526703	0.064833	0.064570
26.532162	0.064925	0.064570
26.537605	0.065016	0.064570
26.543032	0.065107	0.064570
26.548443	0.065196	0.064570
26.553837	0.065283	0.064570
26.559215	0.065369	0.064570
26.564577	0.065452	0.064570
26.569922	0.065532	0.064570
26.575251	0.065609	0.064570
26.580563	0.065683	0.064570
26.585859	0.065753	0.064570
26.591138	0.065819	0.064570
26.596496	0.065880	0.064570
26.601703	0.065937	0.064570
26.606952	0.065990	0.064570
26.612179	0.066037	0.064570
