in s,C1 in V
-2.400E-07,5.19922E-03
-2.398E-07,2.85547E-03
-2.396E-07,7.07031E-04
-2.394E-07,-3.39453E-03
-2.392E-07,-7.88672E-03
-2.390E-07,-1.04258E-02
-2.388E-07,-1.12070E-02
-2.386E-07,-1.10117E-02
-2.384E-07,-1.04258E-02
-2.382E-07,-9.25391E-03
-2.380E-07,-8.27734E-03
-2.378E-07,-7.88672E-03
-2.376E-07,-6.91016E-03
-2.374E-07,-4.17578E-03
-2.372E-07,-1.83203E-03
-2.370E-07,-4.64844E-04
-2.368E-07,1.09766E-03
-2.366E-07,1.87891E-03
-2.364E-07,2.66016E-03
-2.362E-07,3.24609E-03
-2.360E-07,3.83203E-03
-2.358E-07,4.02734E-03
-2.356E-07,4.41797E-03
-2.354E-07,4.61328E-03
-2.352E-07,4.22266E-03
-2.350E-07,4.22266E-03
-2.348E-07,3.44141E-03
-2.346E-07,2.66016E-03
-2.344E-07,2.46484E-03
-2.342E-07,3.05078E-03
-2.340E-07,3.44141E-03
-2.338E-07,4.41797E-03
-2.336E-07,4.02734E-03
-2.334E-07,4.22266E-03
-2.332E-07,3.44141E-03
-2.330E-07,2.66016E-03
-2.328E-07,1.68359E-03
-2.326E-07,9.02344E-04
-2.324E-07,5.11719E-04
-2.322E-07,-2.69531E-04
-2.320E-07,-4.64844E-04
-2.318E-07,-1.24609E-03
-2.316E-07,-1.63672E-03
-2.314E-07,-2.41797E-03
-2.312E-07,-2.41797E-03
-2.310E-07,-2.61328E-03
-2.308E-07,-3.00391E-03
-2.306E-07,-3.19922E-03
-2.304E-07,-3.39453E-03
-2.302E-07,-3.00391E-03
-2.300E-07,-3.19922E-03
-2.298E-07,-2.80859E-03
-2.296E-07,-2.80859E-03
-2.294E-07,-3.00391E-03
-2.292E-07,-2.80859E-03
-2.290E-07,-2.22266E-03
-2.288E-07,-2.22266E-03
-2.286E-07,-2.80859E-03
-2.284E-07,-3.39453E-03
-2.282E-07,-3.39453E-03
-2.280E-07,-2.22266E-03
-2.278E-07,-1.44141E-03
-2.276E-07,-1.63672E-03
-2.274E-07,-2.02734E-03
-2.272E-07,-2.22266E-03
-2.270E-07,-3.19922E-03
-2.268E-07,-3.19922E-03
